RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15710408,Cunningham,584,Spain,Female,38,3,0,2,1,1,4525.4,0
2,15598695,Fields,834,Germany,Female,68,9,130169.27,2,0,1,93112.2,0
3,15649354,Johnston,754,Spain,Male,35,4,0,2,1,1,9658.41,0
4,15737556,Vasilyev,590,France,Male,43,7,81076.8,2,1,1,182627.25,1
5,15671610,Hooper,740,France,Male,36,7,0,1,1,1,13177.4,0
6,15625092,Colombo,502,Germany,Female,57,3,101465.31,1,1,0,43568.31,1
7,15741032,Tsao,733,France,Male,48,5,0,1,0,1,117830.57,0
8,15750014,Chikere,755,Germany,Female,37,0,113865.23,2,1,1,117396.25,0
9,15784761,Ballard,554,Spain,Female,46,7,87603.35,3,0,1,96929.24,1
10,15768359,Akhtar,534,France,Male,36,4,120037.96,1,1,0,36275.94,0
11,15805769,O'Loughlin,656,Spain,Male,33,4,0,2,1,0,116706,0
12,15719508,Davis,575,Germany,Male,49,7,121205.15,4,1,1,168080.53,1
13,15609011,Barry,480,Spain,Male,47,8,75408.33,1,1,0,25887.89,1
14,15703106,K'ung,575,France,Male,40,5,0,2,1,1,122488.59,0
15,15626795,Gorman,672,France,Female,40,3,0,1,1,0,113171.61,1
16,15773731,John,758,Spain,Female,35,5,0,2,0,0,100365.51,0
17,15756196,Tsou,682,France,Male,50,6,121818.84,2,0,1,124151.37,0
18,15687903,Okonkwo,501,France,Female,29,8,0,2,1,0,112664.24,0
19,15777599,Esposito,746,Germany,Male,34,6,141806,2,1,1,183494.87,0
20,15754577,Boni,556,France,Female,51,8,61354.14,1,1,0,198810.65,1
21,15584113,Pratt,823,Germany,Female,53,4,124954.94,1,0,1,131259.6,1
22,15669589,Page,491,Germany,Female,68,1,95039.12,1,0,1,116471.14,1
23,15632793,Wilkinson,638,France,Female,29,9,103417.74,1,1,1,15336.4,0
24,15711130,Tseng,734,France,Male,45,2,0,2,1,0,99593.28,0
25,15615254,Clark,555,France,Male,40,10,43028.77,1,1,0,170514.21,0
26,15720583,Finch,745,Germany,Female,44,0,119638.21,1,1,1,34265.08,1
27,15780432,Shen,728,France,Male,37,3,122689.51,2,0,0,106977.53,1
28,15673223,Hou,626,France,Male,44,10,0,2,0,0,164287.86,0
29,15807989,Wall,681,Germany,Male,37,8,73179.34,2,1,1,25292.53,0
30,15761168,Manna,478,France,Female,38,4,171913.87,1,1,0,51820.87,1
31,15651272,Reyes,709,France,Male,38,5,0,2,1,1,81452.29,0
32,15812832,Jideofor,562,Germany,Male,33,8,92659.2,2,1,0,1354.25,0
33,15680517,Sal,769,Germany,Female,34,7,137239.17,1,1,1,71379.92,1
34,15750569,Iweobiegbunam,684,Germany,Female,46,3,102955.14,2,1,0,154137.33,0
35,15690743,Shao,536,France,Female,61,8,65190.29,1,1,1,64308.49,1
36,15627741,Heath,631,Germany,Female,29,2,96863.52,2,1,1,31613.35,0
